[ 0.60 , 60 , 48 ] 
[ 0.60 , 48 , 60 ] 
[ 0.60 , 67 , 52 ] 
[ 0.60 , 52 , 67 ] 
[ 0.60 , 69 , 53 ] 
[ 0.60 , 53 , 69 ] 
[ 1.20 , 67 , 52 ] 
[ 0.60 , 65 , 50 ] 
[ 0.60 , 50 , 65 ] 
[ 0.60 , 64 , 48 ] 
[ 0.60 , 48 , 64 ] 
[ 0.60 , 62 , 53 ] 
[ 0.60 , 62 , 55 ] 
[ 0.60 , 60 , 52 ] 
[ 0.60 , 60 , 48 ] 
[ 0.60 , 67 , 52 ] 
[ 0.60 , 52 , 67 ] 
[ 0.60 , 65 , 53 ] 
[ 0.60 , 53 , 65 ] 
[ 0.60 , 64 , 55 ] 
[ 0.60 , 55 , 64 ] 
[ 1.20 , 62 , 55 ] 
[ 0.60 , 67 , 52 ] 
[ 0.60 , 52 , 67 ] 
[ 0.60 , 65 , 53 ] 
[ 0.60 , 53 , 65 ] 
[ 0.60 , 64 , 55 ] 
[ 0.60 , 55 , 64 ] 
[ 1.20 , 62 , 55 ] 
[ 0.60 , 60 , 48 ] 
[ 0.60 , 48 , 60 ] 
[ 0.60 , 67 , 52 ] 
[ 0.60 , 52 , 67 ] 
[ 0.60 , 69 , 53 ] 
[ 0.60 , 53 , 69 ] 
[ 1.20 , 67 , 52 ] 
[ 0.60 , 65 , 50 ] 
[ 0.60 , 50 , 65 ] 
[ 0.60 , 64 , 48 ] 
[ 0.60 , 48 , 64 ] 
[ 0.60 , 62 , 53 ] 
[ 0.60 , 62 , 55 ] 
[ 1.20 , 60 , 48 ] 
